frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.000,0.98,1,0.00,0.00,0.00,0.00,2.20,1.30,0.00,1.82,3.57,0.98,0.17,0.27,0.33,0.00,0.14,0.00,0.86,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00
2,0,0.000,0.98,1,0.00,0.00,0.00,0.00,2.18,1.36,0.00,1.73,3.58,1.09,0.07,0.23,0.29,0.00,0.09,0.00,1.44,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00
3,0,0.000,0.98,1,0.45,0.31,0.00,0.16,1.74,0.92,0.00,1.62,3.33,1.16,0.01,0.19,0.17,0.00,0.57,0.32,1.48,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00
4,0,0.000,0.98,1,1.02,0.61,0.00,0.31,1.27,0.50,0.00,1.55,3.12,1.16,0.01,0.22,0.06,0.00,1.10,0.50,1.42,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
5,0,0.000,0.98,1,1.02,0.61,0.00,0.31,0.72,0.64,0.00,1.49,2.55,1.08,0.00,0.34,0.00,0.00,1.21,0.86,0.59,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
6,0,0.000,0.98,1,0.57,0.30,0.02,0.19,0.95,0.64,0.75,1.63,2.33,1.56,0.37,0.51,0.00,0.49,1.17,0.54,0.48,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
7,0,0.000,0.88,1,0.00,0.00,0.02,0.18,1.20,0.70,1.51,1.91,2.19,2.04,0.60,0.55,0.00,1.12,1.11,0.36,0.34,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
8,0,0.000,0.88,1,0.00,0.00,0.02,0.25,1.51,0.10,2.21,2.05,2.30,2.63,0.81,0.71,0.00,1.79,1.49,0.02,0.48,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
9,0,0.000,0.88,1,0.00,0.00,0.00,0.21,1.82,0.94,1.47,1.87,2.53,2.23,0.44,0.48,0.19,1.31,1.53,0.18,0.62,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
10,0,0.000,0.98,1,0.00,0.00,0.00,0.07,2.15,1.65,0.70,1.62,2.76,1.92,0.20,0.30,0.48,0.68,1.61,0.37,0.77,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
11,0,0.000,0.98,1,0.00,0.00,0.00,0.00,2.52,2.54,0.00,1.44,2.95,1.52,0.00,0.08,0.78,0.00,1.60,0.61,0.90,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
