frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,kmeans_cluster,dbscan_cluster,pc1,pc2
1,0,0.0,0.98,1,0.0,0.0,0.0,0.0,2.2,1.3,0.0,1.82,3.57,0.98,0.17,0.27,0.33,0.0,0.14,0.0,0.86,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,-1,2.373255501316528,-0.1688848630586953
2,0,0.0,0.98,1,0.0,0.0,0.0,0.0,2.18,1.36,0.0,1.73,3.58,1.09,0.07,0.23,0.29,0.0,0.09,0.0,1.44,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,-1,2.588973500776297,-0.31991730004265245
3,0,0.0,0.98,1,0.45,0.31,0.0,0.16,1.74,0.92,0.0,1.62,3.33,1.16,0.01,0.19,0.17,0.0,0.57,0.32,1.48,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,-1,1.6727268298693587,0.18767931358253634
4,0,0.0,0.98,1,1.02,0.61,0.0,0.31,1.27,0.5,0.0,1.55,3.12,1.16,0.01,0.22,0.06,0.0,1.1,0.5,1.42,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,-1,0.656037905498239,0.797799485748174
5,0,0.0,0.98,1,1.02,0.61,0.0,0.31,0.72,0.64,0.0,1.49,2.55,1.08,0.0,0.34,0.0,0.0,1.21,0.86,0.59,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4,-1,-0.10264360396665115,0.5553314492647152
6,0,0.0,0.98,1,0.57,0.3,0.02,0.19,0.95,0.64,0.75,1.63,2.33,1.56,0.37,0.51,0.0,0.49,1.17,0.54,0.48,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,-1,0.5302025458217557,1.2955282017531824
7,0,0.0,0.88,1,0.0,0.0,0.02,0.18,1.2,0.7,1.51,1.91,2.19,2.04,0.6,0.55,0.0,1.12,1.11,0.36,0.34,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,-1,1.2484287723178717,2.2330347014375063
8,0,0.0,0.88,1,0.0,0.0,0.02,0.25,1.51,0.1,2.21,2.05,2.3,2.63,0.81,0.71,0.0,1.79,1.49,0.02,0.48,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,-1,1.4546644980961885,3.9235736023399355
9,0,0.0,0.88,1,0.0,0.0,0.0,0.21,1.82,0.94,1.47,1.87,2.53,2.23,0.44,0.48,0.19,1.31,1.53,0.18,0.62,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,-1,2.0497224677678045,2.76963673444415
10,0,0.0,0.98,1,0.0,0.0,0.0,0.07,2.15,1.65,0.7,1.62,2.76,1.92,0.2,0.3,0.48,0.68,1.61,0.37,0.77,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,-1,2.709769048509665,1.501430436288241
11,0,0.0,0.98,1,0.0,0.0,0.0,0.0,2.52,2.54,0.0,1.44,2.95,1.52,0.0,0.08,0.78,0.0,1.6,0.61,0.9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,-1,3.3586924394436544,0.29136706071387064
12,0,0.0,0.98,1,0.0,0.0,0.0,0.0,1.75,1.93,0.0,0.98,2.43,1.08,0.0,0.08,0.59,0.17,1.35,1.26,0.54,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,-1,1.8613939467801506,-0.631732171757913
13,0,0.0,0.98,1,0.0,0.0,0.0,0.0,0.95,1.28,0.0,0.5,1.86,0.56,0.0,0.08,0.3,0.45,0.97,1.82,0.27,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,-1,0.2055659773919671,-1.641344853209268
14,0,0.0,0.98,1,0.0,0.0,0.0,0.0,0.17,0.53,0.0,0.0,1.4,0.07,0.0,0.0,0.0,0.7,0.6,2.3,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,-1,-1.3703086694871685,-2.6527082842578076
15,0,0.0,0.98,1,0.7,1.03,0.0,0.48,0.52,0.3,0.0,0.55,2.15,0.41,0.2,0.52,0.12,1.17,0.96,1.85,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,-1,-2.4778346579607606,0.5269517115491027
16,0,0.0,0.98,1,1.54,2.17,0.0,0.84,0.96,0.14,0.0,1.19,2.86,0.96,0.41,1.22,0.27,1.36,1.41,1.18,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,-1,-3.2838381933854155,3.8091790126258886
17,0,0.0,0.98,1,2.4,3.27,0.0,1.21,1.39,0.0,0.0,1.86,3.52,1.63,0.64,2.02,0.37,1.45,1.75,0.49,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,-1,-4.076502826877144,7.089765160280759
18,0,0.0,0.98,1,1.7,2.23,0.0,0.74,0.98,0.0,0.0,1.31,2.34,1.24,0.44,1.5,0.25,0.82,1.11,0.14,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,-1,-3.219219766054413,3.4942519694508034
19,0,0.0,0.03,0,0.85,1.1,0.0,0.38,0.49,0.0,0.0,0.67,1.16,0.67,0.23,0.79,0.1,0.35,0.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,-1,-2.5404100685444138,-0.22064816253493938
20,0,0.0,0.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1.8880749654111366,-3.9259549215495513
21,0,0.0,0.68,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1.8880749654111366,-3.9259549215495513
22,0,0.0,0.47,0,0.01,0.0,0.05,0.0,0.75,0.44,0.0,0.43,0.77,0.21,0.0,0.06,0.37,0.0,0.53,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-0.6727890550515169,-2.759230633834589
23,0,0.0,0.98,1,0.19,0.0,0.05,0.0,1.54,0.84,0.0,0.85,1.61,0.67,0.0,0.15,0.65,0.0,0.95,1.07,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,-1,0.5541435570533122,-1.4078834229184773
24,0,0.0,0.98,1,0.36,0.0,0.05,0.0,2.45,1.35,0.0,1.13,2.54,0.97,0.0,0.15,0.93,0.31,1.34,1.73,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2,-1,1.6676455869953406,-0.04330536665631346
25,0,0.0,0.98,1,0.66,0.0,0.0,0.0,2.72,1.62,0.0,1.11,2.82,1.21,0.0,0.09,0.75,0.31,1.16,1.74,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2,-1,1.9411990226443592,0.24263796607917654
26,0,0.0,0.98,1,0.74,0.0,0.0,0.0,3.01,1.94,0.0,1.14,3.03,1.16,0.0,0.0,0.59,0.31,1.28,1.72,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2,-1,2.3127366575407877,0.43313876131322937
27,0,0.0,0.98,1,0.76,0.0,0.0,0.0,2.09,1.57,0.0,1.14,2.61,1.1,0.0,0.44,0.32,0.0,0.91,1.06,0.72,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2,-1,1.5846760720954225,-0.28207316402182536
28,0,0.0,0.98,1,0.63,0.0,0.0,0.0,1.07,0.89,0.0,1.04,2.1,0.91,0.0,0.88,0.12,0.0,0.57,0.53,1.39,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,-1,0.46880590390620114,-1.043557709806917
29,0,0.0,0.98,1,0.62,0.0,0.0,0.0,0.0,0.17,0.0,1.01,1.68,0.84,0.0,1.33,0.0,0.0,0.03,0.0,2.19,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,-1,-0.6573667307590951,-1.7244019894539349
